instance_id,compact,dp_flow,arc_flow,set_cover,set_partition
sage_original_BPP_0174_991d7bf3a4,0.024732,0.054650,0.021678,0.017715,0.040395
sage_original_BPP_0175_428bdbb4c4,0.040000,0.053528,0.005189,0.016063,0.022147
sage_original_BPP_0176_9ae230a8dc,0.054895,0.065524,0.025840,0.050885,0.041645
sage_original_BPP_0177_fd36bf6bb3,0.023987,0.059406,0.027300,0.037010,0.043348
sage_original_BPP_0178_f2104acc30,0.039024,0.033516,0.005244,0.015983,0.036226
sage_original_BPP_0179_d904d37302,0.020503,0.028146,0.027792,0.004638,0.016328
sage_original_BPP_0180_bfb60a7aea,0.020889,0.033343,0.005173,0.015850,0.018494
sage_original_BPP_0181_20edf5feb6,0.024483,0.031556,0.005195,0.017926,0.017475
sage_original_BPP_0182_41f908c47c,0.023955,0.039183,0.006063,0.041467,0.026493
sage_original_BPP_0183_1bef725ebb,0.022678,0.059020,0.006059,0.023595,0.044566
sage_original_BPP_0184_fd59e8ddc7,0.021382,0.050185,0.005960,0.017622,0.016137
sage_original_BPP_0185_55f0362c71,0.023431,0.059593,0.005543,0.018486,0.042668
sage_original_BPP_0186_ff34168cfc,0.021320,0.054609,0.005620,0.018917,0.018604
sage_original_BPP_0187_dfa45ff231,0.025325,0.031018,0.023553,0.036782,0.039121
sage_original_BPP_0188_7da60096ed,0.025132,0.032110,0.005343,0.041507,0.040649
sage_original_BPP_0189_526cd5f400,0.044719,0.039371,0.029366,0.037260,0.046456
sage_original_BPP_0190_21a27e9a0d,0.043715,0.034185,0.005504,0.037413,0.040055
sage_original_BPP_0191_a1e0bf412e,0.047956,0.038657,0.026929,0.040766,0.025076
sage_original_BPP_0192_6714bb98ac,0.023703,0.038615,0.027808,0.040990,0.024162
sage_original_BPP_0193_39f9fe51d1,0.023864,0.038558,0.008254,0.044142,0.022500
sage_original_BPP_0194_63be3aabcf,0.025927,0.030716,0.028081,0.039537,0.045896
sage_original_BPP_0195_04e2861939,0.035536,0.013600,0.002855,0.002676,0.002663
sage_original_BPP_0196_4cee774ed7,0.021326,0.057952,0.006439,0.016250,0.019542
sage_original_BPP_0197_5353bfcb99,0.046950,0.063084,0.008944,0.029445,0.033593
sage_original_BPP_0198_1596a3c4cb,0.042592,0.034122,0.005607,0.015398,0.016246
sage_original_BPP_0199_72754057e6,0.024071,0.039032,0.029085,0.023470,0.022521
sage_original_BPP_0200_499787a2c8,0.022328,0.033555,0.005441,0.017570,0.039484
sage_original_BPP_0201_d107e23856,0.020926,0.037337,0.006692,0.017875,0.020341
sage_original_BPP_0202_7f0e75dcc8,0.021129,0.027073,0.004711,0.014888,0.015707
sage_original_BPP_0203_1453827698,0.020582,0.051395,0.028399,0.033852,0.016250
sage_original_BPP_0204_b01a1da228,0.022949,0.063021,0.006712,0.028563,0.042301
sage_original_BPP_0205_dd29b46c6a,0.023779,0.037455,0.006480,0.018422,0.044778
sage_original_BPP_0206_0efb405fc1,0.020625,0.032502,0.005302,0.017855,0.018293
sage_original_BPP_0207_d2b398a905,0.023500,0.039602,0.007869,0.022734,0.040516
sage_original_BPP_0208_3816b2a8f0,0.039863,0.059665,0.028094,0.019303,0.048057
sage_original_BPP_0209_b62b0ed588,0.042047,0.035691,0.023650,0.016497,0.042014
sage_original_BPP_0210_e008e725dc,0.022274,0.034112,0.005031,0.015156,0.038910
sage_original_BPP_0211_9625dbb3a9,0.023592,0.066157,0.006886,0.021590,0.022921
sage_original_BPP_0212_6c18e397d2,0.021101,0.037857,0.005734,0.018668,0.022841
sage_original_BPP_0213_7b086f461c,0.021799,0.039330,0.005191,0.015480,0.042814
sage_original_BPP_0214_1136732482,0.023291,0.038293,0.006567,0.017971,0.022588
sage_original_BPP_0215_3e393c68ad,0.020408,0.053501,0.005577,0.017890,0.025195
sage_original_BPP_0216_e71ac7ef72,0.023041,0.036386,0.006022,0.017940,0.023236
sage_original_BPP_0217_ed6e5dcc8b,0.020859,0.036638,0.006367,0.017343,0.024043
sage_original_BPP_0218_dccc060724,0.040307,0.047709,0.008476,0.020160,0.045428
sage_original_BPP_0219_2b870456fc,0.043237,0.031325,0.005314,0.019251,0.018931
sage_original_BPP_0220_626795784d,0.027977,0.050997,0.026011,0.018473,0.025611
sage_original_BPP_0221_741a005327,0.021026,0.049483,0.027613,0.039833,0.019740
sage_original_BPP_0222_1a7407e863,0.023037,0.059804,0.006269,0.022425,0.024446
sage_original_BPP_0223_3b45b1b398,0.021669,0.035850,0.024432,0.040144,0.019475
sage_original_BPP_0224_e315ab4026,0.024718,0.049094,0.006977,0.029603,0.048455
sage_original_BPP_0225_fc4277c9a3,0.044391,0.060366,0.025017,0.019533,0.049505
sage_original_BPP_0226_cadb0c02cf,0.024785,0.054338,0.006065,0.018460,0.017333
sage_original_BPP_0227_d4db19db94,0.021853,0.047738,0.022934,0.015497,0.039865
sage_original_BPP_0228_bd19d8c258,0.042127,0.063456,0.006232,0.026489,0.023498
sage_original_BPP_0229_fd3843ee77,0.025609,0.060461,0.006307,0.018739,0.026150
sage_original_BPP_0230_13aacc5df6,0.022316,0.028651,0.004835,0.015099,0.016191
sage_original_BPP_0231_da40350748,0.025288,0.059563,0.006901,0.018540,0.030786
sage_original_BPP_0232_a59c7ce5d6,0.022159,0.028901,0.004957,0.015833,0.017139
sage_original_BPP_0233_0f2dc45f97,0.025131,0.040786,0.006983,0.041165,0.023022
sage_original_BPP_0234_d5911c3939,0.039242,0.057140,0.027592,0.041846,0.041469
sage_original_BPP_0235_9e2a65d760,0.045811,0.049270,0.024773,0.040292,0.019432
sage_original_BPP_0236_3ba34a1323,0.027453,0.044254,0.009918,0.021989,0.065636
sage_original_BPP_0237_8d46e40096,0.045975,0.059290,0.006227,0.018171,0.042768
sage_original_BPP_0238_983900a06c,0.024232,0.058882,0.006012,0.040331,0.019902
sage_original_BPP_0239_4b988697d9,0.037630,0.034017,0.022148,0.019015,0.019160
sage_original_BPP_0240_5196a2898c,0.021935,0.056896,0.024200,0.019544,0.043459
sage_original_BPP_0241_e4f5510c42,0.047285,0.060609,0.028119,0.041924,0.020405
sage_original_BPP_0242_650af1fc18,0.046476,0.050188,0.023836,0.039191,0.016720
sage_original_BPP_0243_fc37fa24a7,0.045116,0.056664,0.027535,0.019361,0.042144
sage_original_BPP_0244_7df440eb13,0.031020,0.039028,0.006720,0.040142,0.046963
sage_original_BPP_0245_d56274aab8,0.022145,0.042340,0.031290,0.041911,0.046662
sage_original_BPP_0246_b9a8130458,0.024051,0.059299,0.005887,0.016089,0.041900
sage_original_BPP_0247_db8a33bd06,0.023183,0.030571,0.028633,0.038948,0.046070
sage_original_BPP_0248_bb0be30237,0.045800,0.038035,0.006718,0.018376,0.043133
sage_original_BPP_0249_80e9bc2c69,0.030136,0.069270,0.049304,0.050454,0.064731
sage_original_BPP_0250_49d1e742be,0.041556,0.040159,0.006896,0.018408,0.041119
sage_original_BPP_0251_8d89aa734b,0.043541,0.029349,0.021285,0.016119,0.018905
sage_original_BPP_0252_b6020d07ec,0.141065,0.034469,0.005653,0.017695,0.039680
sage_original_BPP_0253_9f46bcd773,0.038492,0.056165,0.028815,0.018522,0.016339
sage_original_BPP_0254_9c94d7a220,0.039914,0.033602,0.005522,0.017548,0.018157
sage_original_BPP_0255_6a6dc29187,0.038568,0.047540,0.023163,0.015344,0.022063
sage_original_BPP_0256_d93a53f8d3,0.024417,0.059516,0.006580,0.023230,0.019862
sage_original_BPP_0257_390369f33b,0.022967,0.038996,0.006840,0.048195,0.069156
sage_original_BPP_0258_477c0a55c0,0.022495,0.035477,0.005677,0.016937,0.017779
sage_original_BPP_0259_c72dad37a1,0.040868,0.027424,0.004810,0.014802,0.015227
sage_original_BPP_0260_36990e4642,0.020660,0.035003,0.026046,0.018642,0.039956
sage_original_BPP_0261_3bd447d23d,0.024399,0.057670,0.027242,0.039736,0.017611
sage_original_BPP_0262_18111df29c,0.024577,0.034590,0.024664,0.019576,0.019042
sage_original_BPP_0263_e20baf96e1,0.023572,0.059601,0.005791,0.041029,0.040741
sage_original_BPP_0264_b0be158395,0.024330,0.040284,0.025375,0.046453,0.051507
sage_original_BPP_0265_bdb5074d4f,0.025582,0.056269,0.024121,0.037096,0.042621
sage_original_BPP_0266_1f029de0d8,0.145603,0.039992,0.023289,0.019371,0.019289
sage_original_BPP_0267_6e1e2a7d96,0.021092,0.029768,0.028993,0.015663,0.016068
sage_original_BPP_0268_cc3977dd9c,0.022387,0.050938,0.004848,0.036550,0.036695
sage_original_BPP_0269_9eb4b63673,0.043074,0.036668,0.005864,0.019101,0.041569
sage_original_BPP_0270_9f1d375421,0.020680,0.033813,0.028128,0.036399,0.020015
sage_original_BPP_0271_dfb6747614,0.044908,0.030764,0.025673,0.015792,0.039001
sage_original_BPP_0272_dda0d83abc,0.022059,0.031271,0.005396,0.015294,0.015620
sage_original_BPP_0273_6886bfb19a,0.041435,0.034130,0.005233,0.015467,0.020828
sage_original_BPP_0274_1e3cf9e8c5,0.045225,0.030844,0.028260,0.015478,0.040296
sage_original_BPP_0275_03373e1515,0.020643,0.036923,0.005698,0.016003,0.015825
sage_original_BPP_0276_4e3b76d0f6,0.044931,0.037817,0.008141,0.039351,0.025773
sage_original_BPP_0277_3a7b1684d9,0.021003,0.040851,0.007802,0.040041,0.039654
sage_original_BPP_0278_fd8f9b155c,0.044604,0.052693,0.026408,0.017102,0.017256
sage_original_BPP_0279_6d2d041a66,0.022025,0.030348,0.025198,0.015569,0.021971
sage_original_BPP_0280_32c5f6d785,0.045435,0.059450,0.005916,0.018730,0.039030
sage_original_BPP_0281_3e61ed9215,0.041455,0.032191,0.005498,0.039091,0.040375
sage_original_BPP_0282_322b8372d9,0.021579,0.050148,0.023232,0.015731,0.040098
sage_original_BPP_0283_b881311afb,0.046294,0.036905,0.005851,0.022129,0.018546
sage_original_BPP_0284_f17cf6868b,0.023427,0.062321,0.005789,0.036985,0.022841
sage_original_BPP_0285_3ed62f5922,0.024299,0.041007,0.022998,0.020820,0.027725
sage_original_BPP_0286_d119ec667c,0.023381,0.032233,0.031008,0.017911,0.024010
sage_original_BPP_0287_067f7d46a4,0.024364,0.032391,0.005286,0.016547,0.023155
